date,cases
2020/08/01,503290
2020/08/02,511485
2020/08/03,516862
2020/08/04,521318
2020/08/05,529877
2020/08/06,538184
2020/08/07,545476
2020/08/08,553188
2020/08/09,559859
2020/08/10,563598
2020/08/11,566109
2020/08/12,568919
2020/08/13,572865
2020/08/14,579140
2020/08/15,583653
2020/08/16,587345
2020/08/17,589886
2020/08/18,592144
2020/08/19,596060
2020/08/20,599940
2020/08/21,603338
2020/08/22,607045
2020/08/23,609773
2020/08/24,611450
2020/08/25,613017
2020/08/26,615701
2020/08/27,618286
2020/08/28,620132
2020/08/29,622551
2020/08/30,625056
2020/08/31,627041